Date,股票代码,Open,Close,High,Low,Volume,Amount,振幅,涨跌幅,涨跌额,换手率
2015-01-05,002227,18.69,18.38,18.69,17.72,26816,49051891.0,5.17,-1.97,-0.37,1.23
2015-01-06,002227,18.37,19.21,19.33,18.09,28224,54018261.0,6.75,4.52,0.83,1.29
2015-01-07,002227,19.23,19.3,19.38,18.8,22407,43154311.0,3.02,0.47,0.09,1.03
2015-01-08,002227,19.3,19.52,19.81,19.18,33261,65770892.0,3.26,1.14,0.22,1.53
2015-01-09,002227,19.51,19.13,19.68,19.13,19442,38010236.0,2.82,-2.0,-0.39,0.89
2015-01-12,002227,19.43,20.63,20.88,19.33,62279,127178504.0,8.1,7.84,1.5,2.86
2015-01-13,002227,20.63,20.78,21.03,20.11,50560,104950082.0,4.46,0.73,0.15,2.32
2015-01-14,002227,20.82,20.18,20.87,20.16,23900,49216601.0,3.42,-2.89,-0.6,1.1
2015-01-15,002227,20.21,20.0,20.56,19.94,18672,37898596.0,3.07,-0.89,-0.18,0.86
2015-01-16,002227,20.48,21.53,21.8,20.48,67251,144718928.0,6.6,7.65,1.53,3.08
2015-01-19,002227,20.71,20.71,21.83,20.23,55873,119372670.0,7.43,-3.81,-0.82,2.56
2015-01-20,002227,20.52,21.33,21.33,20.52,32092,68302858.0,3.91,2.99,0.62,1.47
2015-01-21,002227,21.71,21.49,21.75,21.22,37490,80995020.0,2.48,0.75,0.16,1.72
2015-01-22,002227,21.52,21.48,21.75,21.31,33461,72342697.0,2.05,-0.05,-0.01,1.53
2015-01-23,002227,21.43,21.05,21.49,21.0,27966,59606894.0,2.28,-2.0,-0.43,1.28
2015-01-26,002227,21.06,21.19,21.27,20.95,18806,40039348.0,1.52,0.67,0.14,0.86
2015-01-27,002227,21.29,21.18,21.4,20.83,22484,47761398.0,2.69,-0.05,-0.01,1.03
2015-01-28,002227,21.14,20.95,21.21,20.89,20296,43006158.0,1.51,-1.09,-0.23,0.93
2015-01-29,002227,20.94,20.52,20.94,20.42,17908,37208689.0,2.48,-2.05,-0.43,0.82
2015-01-30,002227,20.53,21.17,21.23,20.53,31911,67447528.0,3.41,3.17,0.65,1.46
2015-02-02,002227,21.08,21.19,21.43,20.83,27563,58987735.0,2.83,0.09,0.02,1.26
2015-02-03,002227,21.2,21.26,21.29,20.85,20043,42677520.0,2.08,0.33,0.07,0.92
2015-02-04,002227,21.24,21.49,21.66,21.1,43696,94195580.0,2.63,1.08,0.23,2.0
2015-02-05,002227,21.62,22.13,22.5,21.49,79809,177352716.0,4.7,2.98,0.64,3.66
2015-03-20,002227,24.36,24.36,24.36,24.36,1223,3000485.0,0.0,10.08,2.23,0.06
2015-03-23,002227,26.81,26.81,26.81,26.81,3707,10000514.0,0.0,10.06,2.45,0.17
2015-03-24,002227,29.51,29.51,29.51,27.84,244596,709640016.0,6.23,10.07,2.7,11.22
2015-03-25,002227,29.33,29.76,30.08,28.57,160141,474166176.0,5.12,0.85,0.25,7.34
2015-03-26,002227,28.91,28.13,29.34,27.46,101257,290685920.0,6.32,-5.48,-1.63,4.64
2015-03-27,002227,27.9,28.48,28.81,27.83,60669,173317190.0,3.48,1.24,0.35,2.78
2015-03-30,002227,28.69,30.73,31.3,28.39,176585,535121392.0,10.22,7.9,2.25,8.1
2015-03-31,002227,30.13,33.82,33.82,29.53,187428,605411488.0,13.96,10.06,3.09,8.6
2015-04-01,002227,34.53,37.22,37.22,34.52,42950,157304536.0,7.98,10.05,3.4,1.97
2015-04-02,002227,40.96,40.96,40.96,40.96,13931,57297586.0,0.0,10.05,3.74,0.64
2015-04-03,002227,40.82,42.55,43.53,39.83,197277,829728592.0,9.03,3.88,1.59,9.05
2015-04-07,002227,41.05,41.36,42.49,39.83,119420,492910576.0,6.25,-2.8,-1.19,5.48
2015-04-08,002227,41.33,40.32,42.28,37.83,135782,549795296.0,10.76,-2.51,-1.04,6.23
2015-04-09,002227,39.33,38.77,39.92,36.27,93609,358432368.0,9.05,-3.84,-1.55,4.29
2015-04-10,002227,38.63,39.92,41.23,37.99,99342,398832848.0,8.36,2.97,1.15,4.56
2015-04-13,002227,39.91,40.2,42.83,38.33,98342,404056608.0,11.27,0.7,0.28,4.51
