代码,名称,上市日期,行业,板块,交易所,上市年份
600000,浦发银行,上海浦东发展银行股份有限公司,1999-11-10,上交所,SSE,
600004,白云机场,广州白云国际机场股份有限公司,2003-04-28,上交所,SSE,
600006,东风股份,东风汽车股份有限公司,1999-07-27,上交所,SSE,
600007,中国国贸,中国国际贸易中心股份有限公司,1999-03-12,上交所,SSE,
600008,首创环保,北京首创生态环保集团股份有限公司,2000-04-27,上交所,SSE,
600009,上海机场,上海国际机场股份有限公司,1998-02-18,上交所,SSE,
600010,包钢股份,内蒙古包钢钢联股份有限公司,2001-03-09,上交所,SSE,
600011,华能国际,华能国际电力股份有限公司,2001-12-06,上交所,SSE,
600012,皖通高速,安徽皖通高速公路股份有限公司,2003-01-07,上交所,SSE,
600015,华夏银行,华夏银行股份有限公司,2003-09-12,上交所,SSE,
600016,民生银行,中国民生银行股份有限公司,2000-12-19,上交所,SSE,
600017,日照港,日照港股份有限公司,2006-10-17,上交所,SSE,
600018,上港集团,上海国际港务(集团)股份有限公司,2000-07-19,上交所,SSE,
600019,宝钢股份,宝山钢铁股份有限公司,2000-12-12,上交所,SSE,
600020,中原高速,河南中原高速公路股份有限公司,2003-08-08,上交所,SSE,
600021,上海电力,上海电力股份有限公司,2003-10-29,上交所,SSE,
600022,山东钢铁,山东钢铁股份有限公司,2004-06-29,上交所,SSE,
600023,浙能电力,浙江浙能电力股份有限公司,2013-12-19,上交所,SSE,
600025,华能水电,华能澜沧江水电股份有限公司,2017-12-15,上交所,SSE,
600026,中远海能,中远海运能源运输股份有限公司,2002-05-23,上交所,SSE,
600027,华电国际,华电国际电力股份有限公司,2005-02-03,上交所,SSE,
600028,中国石化,中国石油化工股份有限公司,2001-08-08,上交所,SSE,
600029,南方航空,中国南方航空股份有限公司,2003-07-25,上交所,SSE,
600030,中信证券,中信证券股份有限公司,2003-01-06,上交所,SSE,
600031,三一重工,三一重工股份有限公司,2003-07-03,上交所,SSE,
600032,浙江新能,浙江省新能源投资集团股份有限公司,2021-05-25,上交所,SSE,
600033,福建高速,福建发展高速公路股份有限公司,2001-02-09,上交所,SSE,
600035,楚天高速,湖北楚天智能交通股份有限公司,2004-03-10,上交所,SSE,
600036,招商银行,招商银行股份有限公司,2002-04-09,上交所,SSE,
600037,歌华有线,北京歌华有线电视网络股份有限公司,2001-02-08,上交所,SSE,
600038,中直股份,中航直升机股份有限公司,2000-12-18,上交所,SSE,
600039,四川路桥,四川路桥建设集团股份有限公司,2003-03-25,上交所,SSE,
600048,保利发展,保利发展控股集团股份有限公司,2006-07-31,上交所,SSE,
